Menu - english: ,,,,
,,,,
Normal : ,,,,
,,,,
Chicken soup,Grilled salmon with vegetables,Chocolate cake,,
,,,,
Noodle soup,Caesar salad,Pancakes,,
,,,,
Beef soup,Cheeseburger,Tiramisu,,
,,,,
Vegetarian : ,,,,
,,,,
Tomato soup,Vegetable dish with soy sauce,Chia pudding with peaches,,
,,,,
Spiced carrot & lentil soup,Spinach & ricotta gnocchi,Lemon cheesecake,,
,,,,
Pumpkin soup,Roasted cauliflower pasta with toasted walnuts, parsley, garlic & lemon zest,Vegan ice-cream
,,,,
Flexitarian : ,,,,
,,,,
Lentil soup with olives and grilled game slices,Grilled salmon with baked sweet potatoes and sautéed green beans,Oat flakes with flax seeds + apple slices and cinnamon,,
,,,,
Spiced carrot & lentil soup,Roasted vegetable & black bean tacos,Vegan ice-cream,,
,,,,
Pumpkin soup,Greek salad with Edamame,Coconut lemon cake,,
,,,,
Meniu - romana: ,,,,
,,,,
Normal : ,,,,
,,,,
Supa de pui,Somon cu legume la gratar,Tort cu ciocolata,,
,,,,
Supa cu taitei,Salata Caesar,Clatite,,
,,,,
Ciorba de vita,Cheeseburger,Tiramisu,,
,,,,
Vegetarian : ,,,,
,,,,
Supa de rosii,Mancare de legume cu sos de soia,Budinca de chia cu piersici,,
,,,,
Supa picanta de morcovi si linte,Gnocchi cu spanac si ricotta,Cheesecake de lamaie,,
,,,,
Supa de doveac,Paste de conopida cu nuci prajite, patrunjel si usturoi,Inghetata vegana,
,,,,
Flexitarian : ,,,,
,,,,
Supa de linte cu masline si felii de vanata la gratar,Somon la gratar cu cartofi dulci copti si fasole verde sotata,Fulgi de ovaz cu seminte de in + felii de mar si scortisoara,,
,,,,
Supa picanta de morcovi si linte,Tacos cu legume prăjite și fasole neagră,Inghetata vegana,,
,,,,
Supa de doveac,Salată grecească cu Edamame,Tort cu nucă de cocos și lămâie,,
